,message,category
0,"Hello! My name is Alana Sultanova and here you will find: - a critical look at everything to which people for some reason are accustomed to add the word ""secular""; , and who is better to add to the emergency. I don’t know how it will go here, but I don’t want to be responsible for the posts written after three glasses of wine. Therefore, I give only the most general facts about myself. Favorite female character from literature is Desade's Justine. Favorite rap is hookah. I also love three things that women usually hate: silence, trash bars in Budapest, sports betting ads in movies and TV shows (I never rewind, really). So let's get started!",2
1,"I went to L’Etoile’s online store and realized how long I hadn’t been here. There are many new things here. For example, hundreds of vibrators for three hundred bucks each. True, I didn’t understand why they sell artificial vaginas “with the kneading function” here. Changes in demand can be understood. Either a pandemic, or an operation, now they are frightening us with hunger. And you need to relax somehow.",2
2,"The word familia (family) of Latin origin, in the Roman Empire, it originally meant a collection of slaves belonging to one master. Later it was a community consisting of a family of masters and their slaves. And only then a community consisting of the head of the family and his blood relatives, as well as non-blood relatives (daughter-in-law, son-in-law).",2
3,"Unexpectedly from 89-year-old Bulatov. But as a journalist, I can roughly imagine how this interview was taken.",2
4,"""Synergy"" will now produce not only coaches and SM specialists, but also academicians. Will Tony Robbins be accepted as an honorary academician?",2
5,Lily-Rose Depp in the things of her mother - Vanessa Paradis. Your parents don't throw anything away either?,2
6,"Blogger Gasanov, who teaches suckers about successful success, boasted for days on end like expensive watches. When he posted his collection on stories, experts found at least two fakes. Gasanov quickly wiped everything. This is everything you need to know about famous rich bloggers.",2
7,"Mike Tyson and Drake's OVO brand. The logo is a golden owl (October's Very Own). The logo reminded me of the symbol of the Masonic “Bohemian Grove”. I got online - it turns out that I'm not the only one such crazy conspiracy theorist. I remember that I liked something from their Weekender collection, but I never bought anything. By the way, Drake has a cool Mod Sélection champagne, but you won’t be able to buy it in Russia, it definitely falls under sanctions (it’s just about $ 400, it falls under the lower threshold).",2
8,"The world community endured for a long time when Ira Shayk posted a bathhouse, a dacha and a babushka, but could not remain silent when she used the slang ending with the letter Z. They saw this as a secret sign and reminded her of an old photo with a book about Putin. Readers immediately realized that with the help of Olivier salad, Ira supported the attack on the officers' house in Vinnitsa. Another sleeper agent exposed.",2
9,"Trump's first wife has died. It turns out that she was already 73 years old, although it seemed that she was quite recently hoo. She was born in the Czechoslovak city of Zlin, which was then (in 1949) called Gottwald in honor of Klement Gottwald. There was such a communist leader of Czechoslovakia who caught a cold at Stalin's funeral and died two days later. Then it turned out that he still died from an aortic rupture provoked by alcoholism and syphilis. Gottwald's body was embalmed and exhibited in a mausoleum near the National Monument on Prague's Vitkov Hill . However, the embalming failed. The dude is literally sour. In 1962, the body was cremated, and the mausoleum was closed. Zlin has a sister city - Novokhopyorsk in the Voronezh region. In its vicinity, the action of one of the most terrible Russian novels, Cheverngur, takes place.",2
10,"Here, too, I do not like; when they invite me to participate in something “as an amateur”, because I am a professional in all areas.",2
11,"It turns out that Pinsky bought Starbucks and is going to make something original out of it. And the nightclub of Timati and Pinsky Flava will open soon (Flava in slang is like a party behind the back of a DJ). I remembered here in connection. I witnessed a funny scene at the opening of the ""Moon"" on Tverskoy Boulevard. Timati noticed designer Natasha Belonogova from afar (she designed, for example, ""Gorynych"", ""Northerners"" and much more) and asked mutual friends to introduce him to her. I went in with trump cards: I follow creativity, I see that you have competition among women designers there. This is where the namedropping started. Sisters Sundukovy, Irina Glik and so on. Well, by the way, to his credit, he fumbles in these names and trends. Apparently, he really does. Then Natasha spoke for a long time and in detail about current projects and plans, and at the end she asked: - And you, Timur, what do you do? He didn't even twitch his eyes. He took me to show his new barbershop. Parting with a new acquaintance, Natasha could not understand why the owner of the hairdressing salon needed security. And then the children ask: - Mom, what did you talk about with Timati for so long?",2
