,message,category
0,"Hi all! My name is Jamila. And I love cosmetics. I have so many of them that my family is tired of evaluating my makeup and listening to reviews. Now I will share with you. For me, cosmetics is not an attempt to deceive someone and appear more beautiful. And the opportunity to show beauty, but not only (and not so much) external, but internal. Several strokes of shadows, blush, lipstick, mascara can change the mood of a woman, and the investigator and those around her. Say more often ""I'm beautiful!"". As they say: there are no ugly women, there are women who do not know how to use cosmetics (a joke that you can not laugh at). Here I will tell and show you my proven products - both in decoration and in care. Let's open the Beauty Box!",2
1,"I’ll start with the mass market, it’s not customary to write about it in the telegram. Although all the girls in the bathroom have a bottle of Pantin or Headendsholders. I have L'Oreal Elseve Express Conditioner: Complete Restore. Double elixir. I tested it for a month. Let's go through the points. Convenient and economical dispenser: shake the bottle, spray along the entire length and comb. Effect: hair smoothes well, removes fluffiness. What does the manufacturer promise? 1. Hair restoration. No recovery, and the split ends certainly didn't stick back together (who would have thought!). Straw remains straw. 2. Easy combing and shine. Yes, my hair is smooth and perfectly combed after the spray. But there is no shine. 3. Protection against electrification. This is a complete fiasco. Her hair is electrifying like hell. Verdict: worth its 450 rubles: smoothes hair, gives a well-groomed look. But the effect is cosmetic. NO PROMISED RECOVERY. Deep hair restoration a priori cannot be cheap.",2
2,"Smash Box The Cali Contour. 6 in 1. A palette that can do almost all makeup! The product has everything for facial contouring: sculptor, white highlighter, bronze highlighter, blush, matte bronzer, light yellow powder. Pigmentation is great, blends great! I also use the palette as an eye shadow. Of course, with its help you can’t make complex evening makeup and smokey, but it’s very suitable for light daytime looks. And it is very travel-friendly: one palette and almost all makeup is ready! Verdict: The Smash Box The Cali Contour multipurpose palette is worth its 3500. Especially if you travel a lot.",2
3,"Another favorite in care. Aloe Facial Cleansing Foam from Holika Holika. You must have heard of him, the bestseller Holika Holika. The product has a thick gel consistency. Foams with water perfectly, gives a large amount of fluffy gentle foam. The aroma is pleasant. Honestly, I don’t know how aloe smells, I associate it with fresh watermelon. My skin is oily, there are black dots and enlarged pores. Therefore, it is important for me that the cleanser thoroughly cleanses the skin of dirt and fat, but does not overdry it. I use this foam for almost half a year, I wash it twice a day: in the morning and in the evening and after removing makeup. During this time, the skin condition has improved markedly. The black dots didn't go away. But the feeling of a ""dirty"" face is gone. And the form in the form of aloe has. Verdict: Foam for light washing - ideal. BLACK DOTS WILL NOT REMOVE, FOR THIS YOU NEED A DEEP CLEANSING. Another disadvantage: the plastic is hard, it is difficult to squeeze the gel. It costs 540 rubles, sold everywhere",2
4,"A product that needs no introduction. Estee Lauder Advanced Night Repair Serum is a bestseller. After every cleansing, I apply toner, then this serum. I let it soak in, and then the cream. Serum transparent - cloudy, liquid; density is somewhere between oil and water. Light oiliness is felt only upon application. It smells like weed, but the smell is pleasant. It spreads easily and is instantly absorbed leaving a natural finish. Results Wrinkles serum, of course, will not completely remove you, but slightly smoothes, nourishes. My skin after the serum became more rested, luminous, fresh. This is visible to the naked eye. All in all, the product works. Verdict: Great base serum. For starters, I advise you to take a mini-bottle of 30 ml. If OK, go to a large 50 ml. The only negative, when used twice a day (morning and evening) is a big expense. 30 ml is enough for a maximum of 1.5 months.",2
5,"My channel is still small, but requests for reviews are already coming in. And this is very pleasing. Yesterday, several subscribers were asked to write about the Foreo brush that they noticed on the shelf. I will not beat around the bush, Foreo Luna Mini 2 is my favorite grooming assistant. Due to the vibration, the silicone bristles push the dirt out and clean the pores. The sensation is that a broom passed over my face and swept away all the dust and keratinized particles. I use it like this: I apply the washing gel on the brush, turn it on at medium speed (there are several speeds, you can increase or decrease) and massage for one minute on each area of ​​the face: forehead, cheeks, chin. And I also apply care with it: I apply face cream, turn the moon on the other side and turn it on to maximum power and apply it to each area of ​​​​the face in turn. Care will be absorbed much faster. Verdict: It is expensive - 9,500 rubles, there are cheaper analogues. But if possible, take it. Beauty gadget is awesome. Comes with USB charger with adapter.",2
6,"Recently, my sister gave me a highlighter from Karl Lagerfeld + ModelCo. I'm not a fan of highlighters, but this one is really good. I explain why. Firstly, a highlighter in the form of a fountain pen. Provides precise application and highlighting effect with the ability to control its intensity. This brush will definitely not polish the entire face to a shine. Secondly, the liquid texture is perfectly stewed. At the finish, the effect of light radiance. I apply product over the cheeks and spread upwards towards the temples to highlight and define the cheekbones, can be applied to the lip line to get a clear look of the lips. You can also apply a highlighter pen to the inner corners of your eyes to make your eyes look more animated.",2
7,"What a smart Tina! Made a collab with the Moscow metro on March 8th. Distributes his patches at 27 stations. One question: how did she agree with the mayor's office on the placement of racks in the subway, bypassing the tenders? All entrepreneurs in Moscow know that renting premises in the metro is either impossible or extremely difficult. But Tina did. A strong woman, what can I say.",2
8,"I quite often use a blow dryer and various curling irons to straighten my curly hair. Therefore, we are constantly on the lookout for some interesting hair protection products. I recently tried TRESemme Thermal Protection Spray. According to the procedure: before blow-drying, spray all over the hair and comb through. When laying with an iron, I spray each strand immediately before straightening. Effect. From the first time I can say that the hair looks more well-groomed and easier to straighten. It does not weigh down and does not greasy, so I spray abundantly. There is no ""dirty hair"" effect. And the pump is comfortable with a lock. Before you straighten your hair with a hot iron, be sure to use a hair care product. For example, with this TRESemme spray, it turned out to be quite good. Yes, and it costs up to 1000 rubles.",2
9,"Clay mask in care is a must-have. Almost all of them are plus or minus similar. And this review will not open America. But if suddenly, you are in search, the analysis of SCINIC All Day Fine Pore Clay Mask will be useful to you. In the composition, in fact, the clay itself (mined in the Amazon). Plus various herbal extracts. The texture is reminiscent of yeast dough: porous, soft and springy under the fingers. It is not creamy, if anyone likes a softer texture. It is problematic to apply clay with a brush, I just smear it with my hand. What didn't you like? Large pieces roll on the skin, dry up with “concrete”. Feeling extremely uncomfortable. The manufacturer promised that the mask should reduce the secreted sebum and narrow the pores. But it's all bullshit. The effect is that the first hour - the face will be a little refreshed. Pores in place, oily skin in place.",2
