,message,category
0,"if the doors are closed, then I will shit under them",0
1,I will celebrate,0
2,lol we had this chat,0
3,do you have a sick person?,0
4,Looks like no(,0
5,"Guys, I'm desperate. Does anyone know how to render video without SMS and registration in Unity? (",0
6,"What's up, they'll pay you 2k...",0
7,But like 760 is not super hot,0
8,We swell you,0
9,Which needs to be reconfigured,0
10,Is this the Bazhenov who arranges sraches on the topic of the economy on YouTube?,0
11,No one is going on Tuesday around 9:30 from the Kazansky railway station to the dubki? I would gladly share a taxi.,0
12,"I banned the motherfucker for 3 days. I didn’t even ban her, but muted her so that she could see the chat and what I think of her. 17.02 mute was removed",0
13,Loss of smell,0
14,"By the way, I have a delivery pro account - delivery is free",0
15,speaking of alcohol,0
16,This is actually funny,0
17,"SMS mailing for example In the contract in small print, shove consent to receive advertising information and newsletters about fires",0
18,"download soft skills, not press",0
19,Do you really like everything?,0
20,Literally wrote about it like,0
21,Now n works,0
22,But there are no student benefits for the three,0
23,"For leisure, dance hall, yoga hall, tennis hall and so on",0
24,I'm beautiful...,0
25,I even played DotA with him last year,0
26,survey for homework on BJD 🥴,0
27,I'm not sure that there are so many foreigners,0
28,"shoot the whitefish, 1k",0
29,Act is a piece of paper,0
30,oil now!!!,0
31,Thank you ! I hope he doesn't leave like usual.,0
32,"By the way, it seems to me, or two years ago, there really was no such frequent occurrence with requests to detain the bus",0
33,"If you twist me too, that is",0
34,at about 0:20 taxi from Odintsovo,0
35,"well, it seems that we recently threw out the boxes of my absent neighbor",0
36,"I left and for longer, never came up",0
37,"2 minors are difficult to get into, the rest had a very low pass rate",0
38,maybe someone wants to split the taxi from the station at ~0:20…,0
39,"kick it, it's really boring already ...",0
40,"Oh, can I borrow 5 minutes?",0
41,"You can also leave for goals unrelated to ""I will not pass the session and I will be expelled""",0
42,Take note,0
43,no verdict,0
44,You remove the lower ribs,0
45,"If you're serious, I'll come",0
46,like bananas,0
47,"It’s just that our passes were blocked today, although we didn’t even indicate the general address ...",0
48,My future husband,0
49,"So, are you coming to see yours?",0
50,He doesn't have a list of those he should pick up,0
51,specifically breech?,0
52,"oh, can I have a photo of the rooms plz)",0
53,Is there any HSE sign there?,0
54,nocode will not suit?,0
55,some kind of clowning,0
56,They really don't need anyone.,0
57,Who read the manga ... He knows everything,0
58,you seem to be from corps 1),0
59,"Yes, it's creepy there",0
60,I called myself,0
61,one who sits on fluo covered brows,0
62,"Ports, switched to distribution from the phone",0
63,300 is necessary so that it’s just kapets out of luck,0
64,And in German😎😎😎,0
65,Tomorrow no one goes to Sheremetyevo at 9-10 am?,0
66,it's just easier to give away,0
67,I just won't give up...,0
68,"but ok, you know better...",0
69,"guys, do you know if it will be possible to leave the dorm home if it turns out that my neighbor has a positive PCR? not to be quarantined...",0
70,"For the treatment of some depressive disorders, fluoxetine is sufficient.",0
71,"oh, how many beeches ...",0
72,shop who can do,0
73,"I really need a beer, but the bus won't make it in time..",0
74,And it's not copied.,0
75,"it turns out, you need to lock yourself in your echo chamber and not monitor the pro-government and pro-liberal media!",0
76,Where is a good shoe shop in the area?,0
77,"Oh, thanks a lot",0
78,you need to ban for the flood,0
79,"A few pieces before going to bed and the throat will never hurt, even impotence will increase",0
80,here is our house,0
81,got out got out got out,0
82,Probably just need a passport,0
83,I'll check with a computer,0
84,Uzb krol tricolor,0
85,Medvedev's times - a more liberal period than now,0
86,"until September 13, it was necessary to register through public services, choose a site nearby",0
87,Anyone want to watch a horror movie?,0
88,You yourself try to learn as many as two!,0
89,"Never arrived, everyone sat down at 10:50",0
90,From WDC to oak trees,0
91,it will be wonderful,0
92,"oh, there is a person sitting there today who caught me",0
93,"Shoot the whitefish 1k, brotherly",0
94,offer money to those who find those who find those who find a dead soul,0
95,I'm trying to figure out where to call for the delivery of ASOS so that it is guaranteed to reach,0
96,alive and up to date,0
97,"But to recommend this I xs, is it worth it",0
98,"So shit is because of the fagots of contractors who spend 20th part on food. The question is not free, but execution",0
99,"Well, in my opinion, this is already the case in all CIS countries",0
100,"No, you only need to ban HRs",0
101,"But from it there are two steps to one of the buildings of the St. Petersburg tower, which is on the Griboyedov Canal: P",0
102,No subs or dubbing?,0
103,"Vsm, for example, everything is fine in our apartment",0
104,Does anyone have pliers?,0
105,Does anyone have an adapter from type-c to hdmi?,0
106,"Tamusht I know about the length, it is 195",0
107,Top blueberry and aloe,0
108,and related risks,0
109,I mean events,0
110,Perhaps someone will be interested,0
111,So tomorrow plan a day in the city,0
112,you can schedule on avu chat s,0
113,Shoot Ibrat somebody,0
114,Saturday free,0
115,What do you need to get to the gym?,0
116,it's literally five minutes walk from the station,0
117,"thanks Egor, it was a special rep from the scene",0
118,Will someone who does not live here be allowed into the oaks with a HSE pass?,0
119,There's a little door,0
120,Where will she arrest? In the campus?,0
121,"And they always ridiculed situations like the current one, when the only profit of the participants is show-offs",0
122,Now I will also invite my friends.,0
123,just not in dorms,0
124,fuck what will happen,0
125,"Guys, can someone give me a cigarette here?)",0
126,and there are no numbers,0
127,or not everyone,0
128,"To Orsk, and there 2 hours by car",0
129,Serpukhov purely,0
130,Disabling notifications on @all and @online still does not work for me in VK,0
131,he does not work..,0
132,"Well, in general, collecting points for installation",0
133,"1k, shoot instant coffee 🥺",0
134,I have with black cats,0
135,"send me a link, I'll subscribe",0
136,we are children of the 21st century,0
137,"yes, and in all sorts of Yandex and delivery too, I just xs, what of all this is ok",0
138,Marriage is embarrassing. No wedding before sex,0
139,Is it possible to kill humanely?,0
140,Anyone want to order products on ozon express? Need to collect the amount for free shipping,0
141,"That is, you can’t get out of oak trees at all?",0
142,For 8 hours to the train,0
143,"Boy, where did you learn to speak Ukrainian?",0
144,And just healthy,0
145,Wait for the group somewhere after some time,0
146,"the main thing is not to throw anything under the lip in front of the police, otherwise they will ask for documents",0
147,And this is not 1137?,0
148,I also took Sony for a few years,0
149,"Hello everyone, but for the May holidays, the bus schedule is the same as usual, do you know?",0
150,Is this the schedule today?,0
151,"Well, no one checks public dubs and chats",0
152,I'll go to your apartment right now,0
153,Can freely,0
154,Stew with some cheese shit,0
155,only the chela,0
156,Taxi from Odi to Dubkov around 1:50. Does anybody want?,0
157,"first put things in order so that there are no such jambs, then warn in advance, and not two days in advance, then you can already discuss what is better",0
158,Please add me too,0
159,it's time to collect applications,0
160,Is there anyone in five?,0
161,What to do then,0
162,in almost any free one you can choose some kind of germany and it will be normal),0
163,Or even 35 without Arrow,0
164,and I would be scared,0
165,Did you freak out or something?,0
166,"I don’t know, for some reason I have hepatitis C cuts",0
167,VSM train is late,0
168,"well, latin in origin",0
169,"Oh, it's better not to come to the medical center",0
170,This is where the fuck,0
171,Everything will be done for you,0
172,"Hi everyone. which of the foreigners lives in oak trees? can you please unsubscribe, i have a question",0
173,Now it costs 781.58. There is no information about price changes.,0
174,Is 2 pills enough?,0
175,The driver moves by the clock in the cab,0
176,party is over....,0
177,"I saw a cockroach in the kitchen recently, but not very big, somewhere around 1-2 cm",0
178,Who even thought of putting a bus from the station at 13.00 ...,0
179,let's not go far and take (illegitimate state) Ukraine,0
180,paradise for 700r per month,0
181,Approximately 1-2g,0
182,Ha box of spices,0
183,"come from oak trees, pick up people and go right away?",0
184,"Geez, how informal is this chat",0
185,Hello. I checked in on Saturday,0
186,Doesn't change the fact that asking to fuck off,0
187,"Set the burners to the maximum, keep warm",0
188,But in general yes,0
189,They go there for citizenship and patents for work,0
190,right in front of the McDonald's symbol,0
191,They include it twice a year,0
192,"I'm not against the exchange, it just worries me a little",0
193,you are fucked up,0
194,"Great, thanks :3",0
195,"In building 3, they ask you not to use the main elevators (which are near security)",0
196,Who has the vinegar guys (1 case)?,0
197,usually up to a week,0
198,do you have boards today?,0
199,"Guys, do you need a qr to ride the elks?",0
200,Security would finally come in handy,0
201,I'm talking about another way) which is through a step,0
202,"Tell me, please, what time will the new bus schedule appear today ...",0
203,Papich guards Vinnitsa 😎,0
204,then there will be a heart attack,0
205,those. isogloss is quite long,0
206,Does everyone have normal Internet in 1 building?,0
207,But the question of where remains the most pressing,0
208,"You don’t understand, apparently, respected people have gathered here, from the best villages in Russia",0
209,please tell me,0
210,"it’s just that if they attach me to Saturday, then I obviously won’t have time by Sunday ...",0
211,Well personally I try not to buy cigarettes to stop smoking in general,0
212,IMHO there is an infection.,0
213,"@taratutkin, is it possible to delay the bus at 20:53 for a couple of minutes?🥺 Elka is late, it will be exactly at 20:53, apparently",0
214,there is a flea market of oaks: @dubki_baraholka. There you can sell or give away your things.,0
215,do they just walk around the room?,0
216,And then 15 minutes of bullshit,0
217,Does anyone have an immersion blender? 1 to,0
218,"And vice versa, for extradition, too",0
219,"No, I don't know him",0
220,"Thanks everyone, I didn't burn out",0
221,I have never been denied,0
222,Maybe they are lawyers.,0
223,psychodiagnosticsintroduction to psychiatrymodern research in cognitive sciencepsycholinguistics,0
224,"Yes, and good anti-aging cosmetos is expensive",0
225,the same dialectology has long been working as a field research discipline,0
226,"When leaving the subway, go straight to the end and left to the end, there are a lot of students, this is the university",0
227,"People say that they are kancret, although in fact they are not kancrete",0
228,Dubkov chat captured as Kazakhstan,0
229,"Sorry, couldn't resist",0
230,as relevant as ever @bina_brnstn,0
231,"I often go there, I will look",0
232,"Gentlemen, can you buy a bubble tea somewhere near the cover?",0
233,Does it work in the morning?,0
234,who will rent a room confess,0
235,Who in the 1st building is fashionable to shoot a whitefish now?,0
236,And what end?,0
237,Who even takes it,0
238,In strict MFC norms? It would be necessary to make a Muscovite card,0
239,What about you?,0
240,"but damn yes, they saw a bitch, they want to provide some kind of sq., but I'm sure that again everything will happen through the ass",0
241,"If you hurry, two hours. If you chill, three. I was somewhere in the middle and drove 2:30",0
242,I thought it was a chat of improvisers in the field of the occult ;(,0
243,"Well, I still planned to relax while watching",0
244,"Well, it's never too late to change something in this life Dubchan",0
245,Really opened,0
246,Taratuta will explain,0
247,But this goes against the instructions not to let anyone in without a pass.,0
248,and type there is a difference magnet dixie perek or five,0
249,"The frog is very cute, keep doing this, you will definitely come to success)",0
250,"Well, again. The question is not to wait, but that this is a corny adjustment for different electric trains and you can shift like this forever",0
251,"Well it's Halloween, it's Halloween",0
252,Have you seen the room yet?,0
253,Could you tell me the doctor's schedule?,0
254,"It is not entirely possible to renew there, in the first year there are 1000 or 1500 places, and the subsequent renewal is only 500 places",0
255,"Guys, hello everyone! Can you please take this short survey 🥺 I would be very grateful! ❤️https://forms.gle/AbKxUen3stmrHXWS6",0
256,I was there by default done like there are symptoms,0
257,"💧❗Friends, there is an accident at the water supply station, they do not supply any water. It is not known when the damage will be fixed.",0
258,"Soryan, poputal",0
259,Anyone want to play badminton?,0
260,what is the 4th building...,0
261,How do you let traffic in games through it?,0
262,"fundamental Particle,",0
263,"In general, depending on which nail, but on average, no",0
264,"Great, thanks",0
265,Distribution of Antipodes,0
266,"Well, he is the rector, he obviously rules everything",0
267,In the Big Spelling Dictionary of different years of publications,0
268,And why the hell can someone cut off the Akum wheelbarrow ....,0
269,"No, if you buy a regular ticket, then yes, it's cheaper",0
270,Hey! we really need a person with a printer and a scanner to make copies of documents (4 pages) printer from you - donate from us),0
271,Tape the windows (it seems that they want to buy adhesive tape for this) and turn on the battery harder,0
272,And climb dadeko into the settings,0
273,DMS should be enough,0
274,what about dubrovniks…..,0
275,No one has a nise gel?,0
276,"When heating is connected there in the Russian Federation, remind me😂",0
277,"guys, it's urgent, someone please answer",0
278,does anyone have anything sweet?,0
279,who will join?,0
280,Taxi from Odintsovo,0
281,how much are?,0
